SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |1|CPF/CNPJ OBRIGATORIO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |2|VALIDACAO DE CPF/CNPJ OBRIGATORIO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |3|UTILIZAR PREFIXO E SUFIXO EM CODIGO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |4|CODIGO DE MERCADORIA PADRAO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |5|BUSCAR CLIENTE COM CPF/CNPJ DUPLICADO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |6|ACEITAR DUPLICIDADE DE CODIGO PADRAO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |7|BAIXA NO ESTOQUE AO INCLUIR MERCADORIA COMPOSTA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |8|CRITERIO PADRAO PARA BUSCA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |9|CAMPO PADRAO PARA BUSCA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |10|CODIGO PADRAO OBRIGATORIO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |11|PERMITIR ALTERACAO APOS O ENCERRAMENTO DA NOTA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |12|FECHAR SERVIDOR APOS ENCERRAMENTO DO SISTEMA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |13|FAZER BACKUP AO SAIR DO PROGRAMA NO SERVIDOR|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |14|CAMPO PADRAO PARA BUSCA DE CHEQUES|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |15|CRITERIO PADRAO PARA BUSCA DE CHEQUES|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |16|CHEQUES A RECEBER NA BARRA DE FERRAMENTAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |17|PERGUNTAR PARA SAIR DO SISTEMA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |18|TITULO PARA O "TIPO CONTABIL"|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |19|CADASTRAR CONTA COM O MESMO NUMERO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |20|CONTAS A RECEBER NA BARRA DE FERRAMENTAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |21|TAXA DE JUROS AO DIA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |22|TAXA DE MULTA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |23|CIDADE PADRAO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |24|DEVOLUÇÃO DE VENDA PARA O VENDEDOR DE ORIGEM|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |25|FORMA DE PAGAMENTO PARA CONTAS COM CHEQUE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |26|PLANO DE CONTAS - DESCONTOS CONCEDIDOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |27|PLANO DE CONTAS - DESCONTOS RECEBIDOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |28|PLANO DE CONTAS - JUROS PAGOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |29|PLANO DE CONTAS - JUROS RECEBIDOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |30|PLANO DE CONTAS - MULTAS PAGAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |31|PLANO DE CONTAS - MULTAS RECEBIDAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |32|CENTRO DE CUSTO PARA JUROS, MULTA, DESCONTOS, DESP.CARTORAIS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |33|SEPARADOR DE DATA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |34|FORMATO PADRAO DA DATA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |35|VERIFICAR SE A CONTA E PARCIAL|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |36|IMPOSTO PADRÃO ISS (%)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |37|TRABALHAR COM GRADE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |38|GRADE UNICA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |39|LANCTO DOS ITENS DA NOTA: FOCO PREFERIDO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |40|LANC.ITENS NOTA: 1)SIST 2)PDR 3)GRD/PRD 4)BAR/SIS 5)PDR/GRD 6)SIS/BAR 7)BAR/PRD|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |41|CENTRO DE CUSTO PADRAO PARA CONTAS SEM CENTRO DE CUSTO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |42|ALIQUOTA DE SUBSTITUICAO TRIBUTARIA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |43|ACUMULAR PRODUTOS NO LOTE ETIQUETA APOS ENCERRAM.NF ENTRADA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |44|REAJUSTAR O PRECO DE VENDA NO ENCERRAMENTO NF ENTRADA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |45|MARKUP GERAL DO REAJUSTE PR.VENDA AUTOMATICO NO LANCTO NOTA (% )|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |46|MÁSCARA DO PRECO UNITARIO NA VENDA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |47|MÁSCARA DA QUANTIDADE NA COMPRA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |48|MÁSCARA DO CODIGO DO PRODUTO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |49|PRECO BASE PARA CALCULO DO PRECO VENDA: 1) PR.CUSTO 2) PR.MEDIO 3) O MAIOR|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |50|FORMA DE PAGAMENTO PADRAO PARA CONTAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |51|IMPRESSAO DE NOTA FISCAL EM FORMULARIO CONTINUO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |52|FORMA DE PAGAMENTO PARA CARTAO DE CREDITO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |53|FORMA DE PAGAMENTO PARA CARTAO DE DEBITO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |54|VALOR MAXIMO PARA CHEQUE INFERIOR|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |55|CAMINHO PARA GRAVAR OS "TXTS" NA GERACAO DO ARQUIVO BOLETAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |56|BANCO PARA GERACAO DO ARQUIVO DE BOLETAS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |57|LAYOUT DE BOLETA DA CAIXA ECONOMICA ( VIA TXT´S)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |58|RAMO DE ATIVIDADE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |59|HABILITAR TELA "OUTROS DADOS"|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |60|HABILITAR TELA ESPECIFICA POR RAMO DE ATIVIDADE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |61|TIPO ENDERECO RESIDENCIAL|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |62|TIPO DE ENDERECO COMERCIAL - PESSOA FISICA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |63|TIPO DE ENDERECO COMERCIAL - PESSOA JURIDICA|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |64|TIPO DE DOCUMENTO PARA CHEQUE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |65|FORMA DE PAGAMENTO PARA DEPOSITO/DESCONTO/PAGTO COM CHEQUE|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |66|FORMA DE PAGAMENTO PARA JUROS DE DESCONTO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |67|PADRAO DE BUSCA ( 5 - NOME 6 - NOME FANTASIA)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |68|TAXA DESCONTO POR ANTECIPACAO DE PAGAMENTO (AO DIA)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |69|CARENCIA PARA COBRANCA DE JUROS NO ATRASO PAGAMENTO|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |70|AGRUPAMENTO DE CRÉDITO DE COBRANÇA BANCÁRIA: "FORMA DE PAGAMENTO "|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |71|AGRUPAMENTO DE CRÉDITO DE COBRANÇA BANCÁRIA: "HISTÓRICO"|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |72|1ª INSTRUÇÃO PARA BOLETA - 40 CARACTERES|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |73|2ª INSTRUÇÃO PARA BOLETA - 40 CARACTERES|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |74|3ª INSTRUÇÃO PARA BOLETA - 40 CARACTERES|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |75|4ª INSTRUÇÃO PARA BOLETA - 40 CARACTERES|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |76|CATEGORIA DE CLIENTE PARA GERAÇÃO AUTOMÁTICA DE CONTRATOS|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |77|TIPO DE DOCUMENTO NA GERAÇÃO DAS CONTRATOS (CEF)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |78|TIPO DE DOCUMENTO NA GERAÇÃO DOS CONTRATOS (CARTEIRA)|
SYS_DESCRICAOPARAMETRO                  |CODDESCRICAOPARAMETRO                   |79|LOCAL DE COBRANÇA PARA BOLETA DA CAIXA E.FEDERAL|
